excluded_sites,exclusion_reason,source,Outlier Status,
Maui @ BaldwinPark,"Sand Mining: 
 A bench of beach rock was previously
 linked to the beach by a tombolo, but is now isolated offshore
 (Genz and others, 2009).",http://pubs.usgs.gov/of/2011/1051,,Maui @ BaldwinPark
Oahu @ Kailua,Uncharacteristic accretion from offshore sand deposits,10.1016/S0025-3227(02)00481-4,Upper Outlier,Oahu @ Kailua
Oahu @ Lanikai,Beach Nourishment,http://pubs.usgs.gov/of/2011/1051,,Oahu @ Lanikai
Oahu @ Haleiwa,"Presence of breakwater, groins, and seawalls",http://pubs.usgs.gov/of/2011/1051,,Oahu @ Haleiwa
Oahu @ Waimea,Historic Sand Mining,http://pubs.usgs.gov/of/2011/1051,,Oahu @ Waimea
Oahu @ KahukuPoint,Historic Sand Mining,http://pubs.usgs.gov/of/2011/1051,,Oahu @ KahukuPoint
Oahu @ Sunset,Rocky Point has high seasonal variability with a bias towards summer shorelines,http://pubs.usgs.gov/of/2011/1051,,Oahu @ Sunset
Oahu @ Waikiki,Waikiki and other southern sites all have beach nourishment and breakwaters,http://pubs.usgs.gov/of/2011/1051,,Oahu @ Waikiki
Oahu @ Maili,Partly lost due to sand mining activities in the mid-1900s,http://pubs.usgs.gov/of/2011/1051,,Oahu @ Maili
Oahu @ Makua,Partly lost due to sand mining activities in the mid-1900s,http://pubs.usgs.gov/of/2011/1051,,Oahu @ Makua
Oahu @ Yokohama,Partly lost due to sand mining activities in the mid-1900s,http://pubs.usgs.gov/of/2011/1051,,Oahu @ Yokohama
Oahu @ PokaiBay,Accreting due to breakwater installations in the 1950s,http://pubs.usgs.gov/of/2011/1051,,Oahu @ PokaiBay
Kauai @ Anahola,"This area is affected by the river discharge and is dynamic (Makai Ocean Engineering and Sea Engineering, 1991)",http://pubs.usgs.gov/of/2011/1051,,Kauai @ Anahola
Kauai @ Wailua,Proximity to Wailua River,http://pubs.usgs.gov/of/2011/1051,,Kauai @ Wailua
Kauai @ Hanapepe,Proximuty to Hanapepe stream,http://pubs.usgs.gov/of/2011/1051,,Kauai @ Hanapepe
Kauai @ Oomano Point,Harbor disrupts sand transport alongshore,http://pubs.usgs.gov/of/2011/1051,,Kauai @ Oomano Point
Kauai @ Waimea,Harbor disrupts sand transport alongshore,http://pubs.usgs.gov/of/2011/1051,,Kauai @ Waimea
Oahu @ MagicIsland,Enclosed by breakwaters,See map,1,Oahu @ MagicIsland
Oahu @ Ewa,Installation of coastal breakwaters to increase accretion,,Upper Outlier,Oahu @ Ewa